AIRPORT_CODE,AIRPORT_NAME,TOTAL_FLIGHTS,ON_TIME,DELAYED,CANCELLED,TOTAL_DELAY_MIN,DELAY_RATE
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5092841,3943288,1052410,86176,61818488,20.66
ORD,"Chicago, IL: Chicago O'Hare International",4209590,3070485,984968,144426,66079561,23.4
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3636019,2882397,657588,80802,39246534,18.09
LAX,"Los Angeles, CA: Los Angeles International",2785556,2212797,535293,34164,26897269,19.22
DEN,"Denver, CO: Denver International",2773104,2225040,506238,35926,27020884,18.26
IAH,"Houston, TX: George Bush Intercontinental/Houston",2381001,1907592,432613,30896,24121262,18.17
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2315826,1908794,379748,24306,18104757,16.4
LAS,"Las Vegas, NV: McCarran International",1974289,1576074,380875,14811,18711405,19.29
SFO,"San Francisco, CA: San Francisco International",1846811,1336406,471462,35732,28980270,25.53
DTW,"Detroit, MI: Detroit Metro Wayne County",1725655,1383667,309430,29888,17266407,17.93
EWR,"Newark, NJ: Newark Liberty International",1670555,1123189,486592,54880,33306693,29.13
MSP,"Minneapolis, MN: Minneapolis-St Paul International",1628169,1308117,294013,22934,16192317,18.06
SLC,"Salt Lake City, UT: Salt Lake City International",1625683,1369627,238267,15964,11647100,14.66
CLT,"Charlotte, NC: Charlotte Douglas International",1542302,1238623,277619,23753,13476691,18.0
MCO,"Orlando, FL: Orlando International",1505072,1193059,296431,12975,15767788,19.7
BOS,"Boston, MA: Logan International",1491908,1126870,324595,38652,18738430,21.76
LGA,"New York, NY: LaGuardia",1416548,980089,372195,57642,22335295,26.27
SEA,"Seattle, WA: Seattle/Tacoma International",1348211,1076744,259103,10348,12830933,19.22
JFK,"New York, NY: John F. Kennedy International",1337099,977224,324778,30258,19985703,24.29
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1300066,1043541,236712,17124,12528499,18.21
PHL,"Philadelphia, PA: Philadelphia International",1202992,893285,281997,24291,16213533,23.44
MDW,"Chicago, IL: Chicago Midway International",1136254,912607,204143,14806,10533443,17.97
SAN,"San Diego, CA: San Diego International",1059213,845717,199750,10771,9373713,18.86
DCA,"Washington, DC: Ronald Reagan Washington National",1051919,822768,196691,29708,10222960,18.7
IAD,"Washington, DC: Washington Dulles International",1046816,814756,203546,26462,12300036,19.44
TPA,"Tampa, FL: Tampa International",904428,718075,177264,7335,9165562,19.6
MIA,"Miami, FL: Miami International",894827,693239,187125,11993,10464788,20.91
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",850244,649940,189585,8875,9883454,22.3
PDX,"Portland, OR: Portland International",692770,559477,126987,5466,6263360,18.33
