YEAR,MONTH,MONTH_NAME,TOTAL_FLIGHTS,ON_TIME,DELAYED,CANCELLED,TOTAL_DELAY_MIN,DELAY_RATE
2003,6,June,332340,273946,55200,2488,2643337,16.61
2003,7,July,346388,276902,63746,4891,3615310,18.4
2003,8,August,345719,272317,66284,5981,3810610,19.17
2003,9,September,327439,279233,42513,5190,2096256,12.98
2003,10,October,343776,296515,43545,3264,1976312,12.67
2003,11,November,330380,262167,62764,4779,3119720,19.0
2003,12,December,347064,261067,77518,8005,3924014,22.34
2004,1,January,354461,262713,80339,10886,4180456,22.67
2004,2,Febuary,336519,258818,71538,5759,3460210,21.26
2004,3,March,365740,295814,64598,4808,3205462,17.66
2004,4,April,355243,293728,58312,2761,2706817,16.41
2004,5,May,362402,280241,74715,6278,4443514,20.62
2004,6,June,359670,261850,91212,5337,5183980,25.36
2004,7,July,375716,284584,83548,6468,4839420,22.24
2004,8,August,380756,295332,77798,6798,4362539,20.43
2004,9,September,356013,296245,46921,12137,2422437,13.18
2004,10,October,371918,301982,65533,3974,2941428,17.62
2004,11,November,356824,281639,70143,4445,3661579,19.66
2004,12,December,369473,264441,96020,8289,5201186,25.99
2005,1,January,360758,255084,89103,15603,4904148,24.7
2005,2,Febuary,330722,253640,70800,5832,3607433,21.41
2005,3,March,375263,285676,82806,6169,4533804,22.07
2005,4,April,361676,300762,55790,4616,2735367,15.43
2005,5,May,375936,312337,59404,3582,2980940,15.8
2005,6,June,372888,276208,89380,6262,5175784,23.97
2005,7,July,385086,270074,105024,8518,6720322,27.27
2005,8,August,386114,289373,87507,7967,4819240,22.66
2005,9,September,353184,290803,55001,6979,2622001,15.57
2005,10,October,365676,292480,65223,7492,3417542,17.84
2005,11,November,349256,277599,67749,3358,3415315,19.4
2005,12,December,356963,251742,97791,6810,5128390,27.4
2006,1,January,362122,281800,73082,6375,3963206,20.18
2006,2,Febuary,331902,246955,76449,7768,3926163,23.03
2006,3,March,378464,286403,86555,4873,4568150,22.87
2006,4,April,364055,283788,75593,3978,3915303,20.76
2006,5,May,374752,291350,78020,4517,4198207,20.82
2006,6,June,371444,269813,93764,6500,5699058,25.24
2006,7,July,384891,283275,93169,7008,5712643,24.21
2006,8,August,389345,294702,87181,6273,4829616,22.39
2006,9,September,362027,272443,82330,6394,4658035,22.74
2006,10,October,379383,273745,97566,7163,5443113,25.72
2006,11,November,363951,275654,81598,6031,4435792,22.42
2006,12,December,375616,263879,99305,11595,5648242,26.44
2007,1,January,380261,276113,94289,9288,5030735,24.8
2007,2,Febuary,346604,230856,98692,16312,5665373,28.47
2007,3,March,391975,282904,96997,11232,5611585,24.75
2007,4,April,376082,279928,88036,7331,4973393,23.41
